54;68;93;86;79;75;45;35;33;66;78;52;86;31;42;29;51;69;72;49;35;30;75;86;88;60;54;87;40;39;48;73;45;74;53;61;62;89;70;56;37;72;72;39;66;73;33;72;66;51;47;69;65;46;63;61;39;85;42;76;39;75;61;49;83;68;58;42;70;39;78;55;71;45;71;59;45;44;90;66;35;82;80;69;79;60;53;71;41;60;51;47;42;83;52;76;61;35;25;31
48;86;59;74;49;59;44;69;56;78;75;65;39;59;74;50;61;38;52;52;74;66;71;33;89;46;87;82;58;38;82;80;72;67;41;55;52;58;69;48;57;42;62;48;50;75;64;25;58;54;61;53;44;52;89;44;54;39;88;32;68;70;77;35;53;56;59;31;82;78;61;57;77;41;73;58;72;32;51;59;53;72;56;68;75;87;51;58;84;57;49;60;33;84;62;85;56;85;84;33
69;39;50;75;63;41;41;54;39;54;72;55;61;36;55;60;87;67;67;85;45;40;57;65;62;26;50;59;36;67;41;43;61;44;58;74;91;81;48;55;73;53;83;46;51;64;53;66;69;84;57;57;43;29;57;44;57;23;80;60;56;64;31;46;49;49;35;58;77;57;73;84;34;86;41;77;59;32;83;62;55;75;72;78;50;68;52;64;26;86;42;69;60;37;58;84;81;68;81;49
44;53;64;34;60;55;42;38;35;44;61;56;70;64;36;50;64;49;52;46;88;54;60;77;43;76;71;60;49;41;36;33;47;43;53;63;47;60;52;46;67;65;51;66;60;39;84;25;73;60;53;59;45;59;69;52;59;64;42;84;78;78;70;47;44;84;40;53;62;34;64;35;44;76;61;54;48;43;78;78;63;89;57;50;66;73;57;42;65;47;56;49;42;42;59;49;57;65;68;76
82;30;55;77;73;75;64;73;56;57;66;49;51;51;86;70;49;69;61;73;65;62;63;68;71;39;59;51;64;63;97;38;79;39;68;55;32;59;48;84;74;59;80;64;68;74;40;52;60;47;86;55;71;63;59;55;32;50;38;75;69;43;79;30;46;94;96;41;47;62;82;42;57;48;81;77;53;61;82;39;37;55;80;55;67;25;33;28;77;85;44;70;70;60;65;58;70;90;82;45
53;49;79;63;58;57;69;45;47;54;51;72;30;64;59;66;69;78;85;46;72;60;30;74;40;49;57;46;47;65;67;50;67;58;90;51;77;54;74;67;83;72;36;50;52;49;50;26;42;61;69;65;83;76;55;87;45;57;59;74;43;37;56;50;77;45;66;60;59;33;40;92;88;75;46;89;66;49;87;61;62;80;70;32;90;37;78;72;72;58;36;58;49;59;60;50;55;51;80;51
38;79;73;64;46;33;55;75;51;45;30;69;44;75;93;66;43;52;37;69;75;63;61;56;84;37;68;59;55;66;82;87;55;53;29;33;77;62;44;90;67;43;45;52;63;57;84;96;46;86;63;62;76;61;36;53;39;63;59;68;41;61;51;35;48;59;77;60;58;52;56;41;76;46;38;58;67;37;47;68;71;74;67;59;64;37;56;77;75;66;41;83;46;47;49;85;74;33;64;65
52;33;60;38;64;70;53;82;30;66;35;71;64;53;40;35;64;42;74;46;69;50;51;75;40;66;48;51;37;47;70;59;61;35;65;80;68;84;55;41;41;72;77;56;82;43;71;68;84;52;30;59;43;52;58;65;88;56;49;58;61;71;44;89;38;78;47;50;56;45;83;49;51;40;78;69;46;54;83;63;32;35;67;53;79;80;78;60;70;71;55;82;58;60;77;79;65;32;47;51
72;53;77;64;36;25;47;62;58;47;38;77;69;43;32;58;66;64;71;76;50;34;62;72;46;60;77;80;22;52;59;65;80;53;49;45;49;79;36;87;88;67;72;49;73;51;44;61;39;45;30;57;84;53;72;84;75;68;53;73;79;52;58;88;58;38;73;64;60;79;62;49;57;47;47;76;64;88;63;91;86;45;67;64;51;95;60;87;31;44;44;60;40;61;54;53;60;55;56;42
76;69;77;44;55;86;62;46;51;64;52;44;54;70;55;72;57;57;33;47;70;75;41;56;22;71;85;89;48;42;88;68;56;57;72;44;54;62;57;87;76;40;70;50;71;31;62;23;63;59;82;89;62;73;54;88;46;67;71;75;54;63;87;48;56;39;37;82;61;48;53;58;94;59;80;47;74;91;58;63;69;81;54;50;54;68;71;57;25;57;58;46;65;71;56;91;47;62;71;81
